fy,group,fte,basis,cite
2021-22,Total - all functions (district FTE),6274.00,actual-budgetary,tscc-review-fy2026 p3
2021-22,Total - all functions (district FTE),641.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),680.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),712.00,actual-budgetary,tscc-annual-report-2024-25-summaries p79
2021-22,Total - all functions (district FTE),75.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022,District Level Administration,7.00,actual-acfr,acfr-fy2025 p142
2022,Educational Assistants,647.50,actual-acfr,acfr-fy2025 p142
2022,Other Staff,2383.00,actual-acfr,acfr-fy2025 p142
2022,School Level Administration,184.50,actual-acfr,acfr-fy2025 p142
2022,Teachers,2720.80,actual-acfr,acfr-fy2025 p142
2022,Total FTE,5942.80,actual-acfr,acfr-fy2025 p142
2022-23,All Funds - 1000 Instruction,3703.25,adopted,budget-fy2022-23-vol1 p141
2022-23,All Funds - 1000 Instruction,3703.25,adopted,budget-fy2023-24-vol1 p87
2022-23,All Funds - 2000 Support Services,2536.85,adopted,budget-fy2022-23-vol1 p141
2022-23,All Funds - 2000 Support Services,2536.85,adopted,budget-fy2023-24-vol1 p87
2022-23,All Funds - 3000 Enterprise And Community Svcs,240.83,adopted,budget-fy2022-23-vol1 p141
2022-23,All Funds - 3000 Enterprise And Community Svcs,240.83,adopted,budget-fy2023-24-vol1 p87
2022-23,All Funds - 4000 Facilities Acquisition And Con,48.80,adopted,budget-fy2023-24-vol1 p87
2022-23,All Funds - 4000 Facilities Acquisition And Con,48.80,adopted,budget-fy2022-23-vol1 p141
2022-23,All Funds - Grand Total (FTE by Major Function and Employee Type),6529.74,adopted,budget-fy2023-24-vol1 p220
2022-23,All Funds - TOTAL,6529.74,adopted,budget-fy2022-23-vol1 p141
2022-23,All Funds - TOTAL,6529.74,adopted,budget-fy2023-24-vol1 p87
2022-23,All Funds - Total,6519.66,actual-budgetary,budget-fy2024-25-vol1 p222
2022-23,District Grand Total (FTE by Major Function and Employee Type),6529.74,proposed,budget-fy2022-23-vol1 p282
2022-23,General Fund - 1000 Instruction,3035.94,adopted,budget-fy2022-23-vol1 p150
2022-23,General Fund - 1000 Instruction,3035.94,adopted,budget-fy2023-24-vol1 p95
2022-23,General Fund - 2000 Support Services,2169.42,adopted,budget-fy2022-23-vol1 p150
