group,fte,fy,basis,doc_id,page,notes,fragment
All Funds - 1000 Instruction,3488.04,2020-21,revised,budget-fy2021-22-vol1,143,Budget FTE columns of Summary of Requirements by Major Function - All Funds,fy2021-22
All Funds - 2000 Support Services,2398.41,2020-21,revised,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 3000 Enterprise And Community Svcs,241.42,2020-21,revised,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 4000 Facilities Acquisition And Con,40.8,2020-21,revised,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - Grand Total (FTE by Major Function and Employee Type),6627.38,2020-21,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2021 Actual',fy2023-24
All Funds - TOTAL,6168.67,2020-21,revised,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - Total,6630.58,2020-21,actual-budgetary,budget-fy2024-25-vol1,222,"FTE by Major Function and Employee Type grand total (Actuals column)",fy2024-25
All Funds: 1000 Instruction,3644.4,2020-21,adopted,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: 2000 Support Services,2425.7,2020-21,adopted,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: 3000 Enterprise And Community Svcs,237.17,2020-21,adopted,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: 4000 Facilities Acquisition And Con,40.8,2020-21,adopted,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: TOTAL,6348.07,2020-21,adopted,budget-fy2020-21-vol1,109,,fy2020-21
District Grand Total (FTE by Major Function and Employee Type),6168.67,2020-21,revised,budget-fy2021-22-vol1,290,printed as 2021 Current,fy2021-22
District Grand Total (FTE by Major Function and Employee Type),6627.38,2020-21,actual-budgetary,budget-fy2022-23-vol1,282,column headed '2021 Actual',fy2022-23
General Fund - 1000 Instruction,3047.75,2020-21,revised,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - 2000 Support Services,2094.57,2020-21,revised,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - 3000 Enterprise And Community Svcs,11.63,2020-21,revised,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - TOTAL,5153.95,2020-21,revised,budget-fy2021-22-vol1,152,,fy2021-22
General Fund: 1000 Instruction,3106.24,2020-21,adopted,budget-fy2020-21-vol1,118,,fy2020-21
General Fund: 2000 Support Services,2145.07,2020-21,adopted,budget-fy2020-21-vol1,118,,fy2020-21
General Fund: 3000 Enterprise And Community Svcs,11.63,2020-21,adopted,budget-fy2020-21-vol1,118,,fy2020-21
General Fund: TOTAL,5262.94,2020-21,adopted,budget-fy2020-21-vol1,118,,fy2020-21
Total - all functions (district FTE),6627,2020-21,actual-budgetary,tscc-review-fy2024,3,PPS,tscc
Total - all functions (district FTE),6627,2020-21,actual-budgetary,tscc-review-fy2025,3,PPS,tscc
District Level Administration,4.0,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Educational Assistants,640.1,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Other Staff,2330.2,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
School Level Administration,174.5,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Teachers,2749.2,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Total FTE,5898.0,2021,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
All Funds - 1000 Instruction,3479.27,2021-22,adopted,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 1000 Instruction,3479.27,2021-22,adopted,budget-fy2022-23-vol1,141,"Budget FTE columns of Summary of Requirements by Major Function - All Funds; 2021-22 column printed as 'Budget FTE', recorded as adopted",fy2022-23
All Funds - 2000 Support Services,2488.88,2021-22,adopted,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 2000 Support Services,2488.88,2021-22,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - 3000 Enterprise And Community Svcs,204.00,2021-22,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - 3000 Enterprise And Community Svcs,242.25,2021-22,adopted,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 4000 Facilities Acquisition And Con,39.55,2021-22,adopted,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - 4000 Facilities Acquisition And Con,39.55,2021-22,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - Grand Total (FTE by Major Function and Employee Type),6211.7,2021-22,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2022 Actual',fy2023-24
All Funds - TOTAL,6211.70,2021-22,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - TOTAL,6249.95,2021-22,adopted,budget-fy2021-22-vol1,143,,fy2021-22
All Funds - Total,6274.09,2021-22,actual-budgetary,budget-fy2024-25-vol1,222,,fy2024-25
District Grand Total (FTE by Major Function and Employee Type),6211.70,2021-22,adopted,budget-fy2022-23-vol1,282,column headed '2022 Adopted',fy2022-23
District Grand Total (FTE by Major Function and Employee Type),6249.95,2021-22,adopted,budget-fy2021-22-vol1,290,printed as 2022 Adopted,fy2021-22
General Fund - 1000 Instruction,2966.61,2021-22,adopted,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - 1000 Instruction,2966.62,2021-22,adopted,budget-fy2022-23-vol1,150,Budget FTE columns of GF requirements-by-function table,fy2022-23
General Fund - 2000 Support Services,2157.26,2021-22,adopted,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - 2000 Support Services,2157.26,2021-22,adopted,budget-fy2022-23-vol1,150,,fy2022-23
General Fund - 3000 Enterprise And Community Svcs,11.88,2021-22,adopted,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - 3000 Enterprise And Community Svcs,11.88,2021-22,adopted,budget-fy2022-23-vol1,150,,fy2022-23
General Fund - TOTAL,5135.75,2021-22,adopted,budget-fy2021-22-vol1,152,,fy2021-22
General Fund - TOTAL,5135.76,2021-22,adopted,budget-fy2022-23-vol1,150,requirements-by-object table p151 prints 5135.75 (rounding),fy2022-23
