object_code,label,amount_k,fy,basis,doc_id,page,notes,fragment
,Contingency,0,2013-14,actual-budgetary,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,51673.785,2013-14,actual-budgetary,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements,516645.666,2013-14,actual-budgetary,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
100,Salaries,246921.093,2013-14,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,376576.888,2013-14,actual-budgetary,budget-fy2016-17-book,80,native unit whole dollars; combined category as printed; see rows 100/200 for the split,fy2016-17
200,Employee Benefits,129655.795,2013-14,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300+400,Materials and Services,72308.4,2013-14,actual-budgetary,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
500,Capital Outlay,3297.504,2013-14,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
600,Debt Service & Other,3775.967,2013-14,actual-budgetary,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
700,Fund Transfers,9013.122,2013-14,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
,Contingency,0,2014-15,actual-budgetary,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,34441.54,2014-15,actual-budgetary,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
100,Salaries (subtotal),271479.428,2014-15,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries,271479.428,2014-15,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,408398.173,2014-15,actual-budgetary,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
100+200,Salaries and Benefits,408398.173,2014-15,actual-budgetary,budget-fy2017-18-book,79,native unit whole dollars; book combines objects 100/200 and 300/400 at summary level - split rows 100 and 200 provided from detail subtotals,fy2017-18
200,Employee Benefits (subtotal),136918.746,2014-15,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits,136918.746,2014-15,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300+400,Materials and Services,79196.52,2014-15,actual-budgetary,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,79196.520,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,5558.214,2014-15,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,5558.214,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,3225.187,2014-15,actual-budgetary,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Debt Service & Other,3225.187,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
700,Fund Transfers,14409.096,2014-15,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
700,Fund Transfers,14409.096,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
810,Contingency,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,79,PPS account 581000 Operating Contingency,fy2017-18
EFB,Ending Fund Balance,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,79,PPS account 376520; not an expenditure object,fy2017-18
TOTAL,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
,Contingency,20199.28,2015-16,revised,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,0,2015-16,revised,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements by Account,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
,Total Requirements,579158.367,2015-16,revised,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,583732,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,18458,2015-16,actual-budgetary,budget-fy2019-20-book,84,printed as 'OTHER SALARIES' (residual 100-object salaries),fy2019-20
100,Salaries (subtotal),303824.963,2015-16,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries (subtotal),303824.963,2015-16,actual-budgetary,budget-fy2018-19-book,89,native unit whole dollars; 300-series and 500-series appear only as multiple printed subtotals (no single 300/500 total printed); contingency/EFB carried at printed account codes,fy2018-19
100,Salaries,307086.945,2015-16,revised,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,445392.054,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
100+200,Salaries and Benefits,459654.387,2015-16,revised,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
111,Licensed Salaries,197803,2015-16,actual-budgetary,budget-fy2019-20-book,84,native unit thousands; Summary of Requirements by Major Account - General Fund,fy2019-20
1121,Classified - Represented,43187,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
1122,Non-Represented Staff,21309,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,23068,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Associated Payroll Costs,141567,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Employee Benefits (subtotal),141567.091,2015-16,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits (subtotal),141567.091,2015-16,actual-budgetary,budget-fy2018-19-book,89,,fy2018-19
200,Employee Benefits,152567.442,2015-16,revised,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300,Charter Schools (536000),12611.042,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Communications,3153.466,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Instructional Prof. & Technical Services,6666.665,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Non-Instruct. Prof. & Tech. Services,12191.820,2015-16,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300,Property Services,16365.664,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Purchased Services,73905,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
300,Transportation Services,14051.494,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Travel,1183.728,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Tuition Payments,7681.196,2015-16,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300+400,Materials and Services,86590.264,2015-16,revised,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,86807.462,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
376520,Budgeted Ending Fund Balance,37835,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
376520,Ending Fund Balance,37835.045,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies & Materials,12902.387,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies and Materials,12902,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Building Acquisition and Improvements,2.619,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Capital Outlay,1713.106,2015-16,revised,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,2737,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Capital Outlay,2737.164,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
500,Equipment,765.326,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Other Capital Outlay,431.272,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Technology,1537.947,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
581000,Operating Contingency,0,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
581000,Operating Contingency,0.000,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
600,Debt Service & Other,3552.821,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,3593.637,2015-16,revised,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Other Accounts (subtotal),3552.821,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
600,Other Objects,3553,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
700,Fund Transfers,7407.357,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
700,Fund Transfers,7407.693,2015-16,revised,budget-fy2016-17-book,80,,fy2016-17
700,Transfers to Other Funds (571000),7407.357,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
700,Transfers,7407,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
810,Contingency,0.000,2015-16,actual-budgetary,budget-fy2017-18-book,79,PPS account 581000 Operating Contingency,fy2017-18
EFB,Ending Fund Balance,37835.045,2015-16,actual-budgetary,budget-fy2017-18-book,79,PPS account 376520; not an expenditure object,fy2017-18
TOTAL,Total Requirements,583731.903,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
,Contingency,15233.717,2016-17,adopted,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Contingency,15613.717,2016-17,proposed,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Contingency,15633.717,2016-17,approved,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,0,2016-17,adopted,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Ending Fund Balance,0,2016-17,approved,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Ending Fund Balance,0,2016-17,proposed,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements by Account,600300.820,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
,Total Requirements,591888.109,2016-17,proposed,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,592043.109,2016-17,approved,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,592600.18,2016-17,adopted,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,600301,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,20038,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,20038,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,printed as 'Other Salaries' with no code; state object 100 family,fy2020-21
100,Salaries (subtotal),314778.039,2016-17,actual-budgetary,budget-fy2018-19-book,89,,fy2018-19
100,Salaries (subtotal),319648.970,2016-17,revised,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries,317050.746,2016-17,approved,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100,Salaries,317171.124,2016-17,proposed,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100,Salaries,318504.344,2016-17,adopted,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,476850.558,2016-17,proposed,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
100+200,Salaries and Benefits,477126.529,2016-17,approved,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
100+200,Salaries and Benefits,478277.736,2016-17,adopted,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
100+200,Salaries and Benefits,479722.797,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
111,Licensed Salaries,201301,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
111,Licensed Salaries,201301,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,"native unit thousands; Summary of Requirements by Major Object - General Funds; salary rows print PPS minor-object codes (111/1121/1122/113); 'Other Salaries' printed without a code, mapped to 100",fy2020-21
1121,Classified - Represented,44205,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
1121,Classified - Represented,44205,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
1122,Non - Represented Staff,24348,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
1122,Non-Represented Staff,24348,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,24886,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,24886,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
200,Associated Payroll Costs,151382,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Associated Payroll Costs,151382,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
200,Employee Benefits (subtotal),151382.402,2016-17,actual-budgetary,budget-fy2018-19-book,89,,fy2018-19
200,Employee Benefits (subtotal),160073.827,2016-17,revised,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits,159679.434,2016-17,proposed,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
200,Employee Benefits,159773.392,2016-17,adopted,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
200,Employee Benefits,160075.783,2016-17,approved,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300,Charter Schools (536000),13100.673,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Communications,2942.088,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Instructional Prof. & Technical Services,6472.225,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Non-Instruct. Prof. & Tech. Services,14175.953,2016-17,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300,Property Services,17796.200,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Purchased Services,78639,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
300,Purchased Services,78639,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
300,Transportation Services,14022.202,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Travel,1215.242,2016-17,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Tuition Payments,8914.610,2016-17,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300+400,Materials and Services,88036.252,2016-17,proposed,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,88502.225,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
300+400,Materials and Services,88774.869,2016-17,approved,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,88855.781,2016-17,adopted,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
376520,Budgeted Ending Fund Balance,20104,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
376520,Budgeted Ending Fund Balance,20104,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
376520,Ending Fund Balance,20104.463,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies & Materials,12182.359,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies and Materials,12182,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
400,Supplies And Materials,12182,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
500,Building Acquisition and Improvements,61.054,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Capital Outlay,1477.306,2016-17,adopted,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,1743.390,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,1756.991,2016-17,approved,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,1880.702,2016-17,proposed,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,3565,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Capital Outlay,3565,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
500,Equipment,1207.284,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Other Capital Outlay,439.474,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Technology,1856.766,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
581000,Operating Contingency,0,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
581000,Operating Contingency,0,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,printed as '-',fy2020-21
581000,Operating Contingency,0.000,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
600,Debt Service & Other,3330.298,2016-17,approved,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Debt Service & Other,3334.935,2016-17,adopted,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Debt Service & Other,3334.935,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,3483.675,2016-17,proposed,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Other Accounts (subtotal),3707.442,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
600,Other Objects,3709,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
600,Other Objects,3709,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
700,Fund Transfers,15956.437,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
700,Fund Transfers,5420.705,2016-17,adopted,budget-fy2016-17-book,80,,fy2016-17
700,Fund Transfers,5420.705,2016-17,approved,budget-fy2016-17-book,80,,fy2016-17
700,Fund Transfers,6023.205,2016-17,proposed,budget-fy2016-17-book,80,,fy2016-17
700,Transfers to Other Funds (571000),15941.275,2016-17,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
700,Transfers,15941,2016-17,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
700,Transfers,15941,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
810,Contingency,15645.377,2016-17,revised,budget-fy2017-18-book,79,PPS account 581000 Operating Contingency,fy2017-18
EFB,Ending Fund Balance,0.000,2016-17,revised,budget-fy2017-18-book,79,PPS account 376520; not an expenditure object,fy2017-18
TOTAL,TOTAL REQUIREMENTS,600301,2016-17,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
TOTAL,Total Requirements,604905.161,2016-17,revised,budget-fy2017-18-book,79,,fy2017-18
,Other Salaries,20453,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
,Total Requirements by Account,631466.922,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
,Total Requirements,633966,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,20453,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,20453,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,printed as 'Other Salaries' with no code; state object 100 family,fy2020-21
100,Salaries (subtotal),325529.648,2017-18,proposed,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries (subtotal),331878.955,2017-18,adopted,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries (subtotal),332710.902,2017-18,approved,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries (subtotal),336852.402,2017-18,revised,budget-fy2018-19-book,89,,fy2018-19
100+200,Salaries and Benefits,489584.580,2017-18,proposed,budget-fy2017-18-book,79,,fy2017-18
100+200,Salaries and Benefits,490916.212,2017-18,approved,budget-fy2017-18-book,79,,fy2017-18
100+200,Salaries and Benefits,491655.112,2017-18,adopted,budget-fy2017-18-book,79,,fy2017-18
111,Licensed Salaries,216251,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
111,Licensed Salaries,216251,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
111,Licensed Salaries,216251,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,native unit thousands of dollars; zero rows printed as dash,fy2021-22
1121,Classified - Represented,44190,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
1121,Classified - Represented,44190,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
1121,Classified - Represented,44190,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
1122,Non - Represented Staff,24439,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
1122,Non - Represented Staff,24439,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
1122,Non-Represented Staff,24439,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,25257,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,25257,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
113,Administrators,25257,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
200,Associated Payroll Costs,157828,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Associated Payroll Costs,157828,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
200,Associated Payroll Costs,157828,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
200,Employee Benefits (subtotal),158205.309,2017-18,approved,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits (subtotal),159776.157,2017-18,adopted,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits (subtotal),161522.343,2017-18,revised,budget-fy2018-19-book,89,,fy2018-19
200,Employee Benefits (subtotal),164054.932,2017-18,proposed,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
300,Charter Schools (536000),13623.321,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Communications,2338.147,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Instructional Prof. & Technical Services,7302.153,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Non-Instruct. Prof. & Tech. Services,7884.336,2017-18,revised,budget-fy2018-19-book,91,,fy2018-19
300,Property Services,17825.406,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Purchased Services,81918,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
300,Purchased Services,81918,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
300,Purchased Services,81918,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
300,Transportation Services,13924.953,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Travel,501.995,2017-18,revised,budget-fy2018-19-book,90,,fy2018-19
300,Tuition Payments,9510.883,2017-18,revised,budget-fy2018-19-book,91,,fy2018-19
300+400,Materials and Services,89684.843,2017-18,adopted,budget-fy2017-18-book,79,,fy2017-18
300+400,Materials and Services,90308.081,2017-18,approved,budget-fy2017-18-book,79,,fy2017-18
300+400,Materials and Services,91237.294,2017-18,proposed,budget-fy2017-18-book,79,,fy2017-18
376520,Budgeted Ending Fund Balance,38282,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
376520,Budgeted Ending Fund Balance,38282,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
376520,Budgeted Ending Fund Balance,38282,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
376520,Ending Fund Balance,14805.081,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
400,Supplies & Materials,13982.181,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
400,Supplies and Materials,13042,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
400,Supplies And Materials,13042,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
400,Supplies And Materials,13042,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
500,Building Acquisition and Improvements,0.000,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
500,Capital Outlay,1204.499,2017-18,adopted,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,1316.955,2017-18,proposed,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,1317.529,2017-18,approved,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,2595,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Capital Outlay,2595,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
500,Capital Outlay,2595,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
500,Equipment,210.196,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
500,Other Capital Outlay,449.934,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
500,Technology,677.303,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
581000,Operating Contingency,0,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
581000,Operating Contingency,0,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,printed as '-',fy2020-21
581000,Operating Contingency,0,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
581000,Operating Contingency,19733.094,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
600,Debt Service & Other,3333.735,2017-18,proposed,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,5312.725,2017-18,adopted,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,5315.357,2017-18,approved,budget-fy2017-18-book,79,,fy2017-18
600,Other Accounts (subtotal),4987.753,2017-18,revised,budget-fy2018-19-book,92,,fy2018-19
600,Other Objects,4384,2017-18,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
600,Other Objects,4384,2017-18,actual-budgetary,budget-fy2020-21-vol1,119,,fy2020-21
600,Other Objects,4384,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,,fy2021-22
