fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
438 - Facilities Capital Fund,4797,4797,2016-17,actual-budgetary,budget-fy2020-21-vol1,205,,fy2020-21
438 Facilities Capital Fund,,10361.136,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
438 Facilities Capital Fund,,10361.136,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
438 Facilities Capital Fund,,5463.636,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
438 Facilities Capital Fund,,6960.085,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
438 Facilities Capital Fund,4796.616,4796.616,2016-17,actual-budgetary,budget-fy2018-19-book,125,,fy2018-19
445 - Capital Asset Renewal Fund,4188,4188,2016-17,actual-budgetary,budget-fy2020-21-vol1,209,,fy2020-21
445 Capital Asset Renewal Fund,,3785.752,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
445 Capital Asset Renewal Fund,,3785.752,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
445 Capital Asset Renewal Fund,,3785.752,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
445 Capital Asset Renewal Fund,,3788.699,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
445 Capital Asset Renewal Fund,4187.830,4187.830,2016-17,actual-budgetary,budget-fy2018-19-book,127,,fy2018-19
450 - GO Bonds Fund,244242,244242,2016-17,actual-budgetary,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
450 GO Bonds Fund,244242.350,244242.350,2016-17,actual-budgetary,budget-fy2018-19-book,128,,fy2018-19
450 GO Bonds,,243180.246,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
450 GO Bonds,,270647.214,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
450 GO Bonds,,270647.214,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
450 GO Bonds,,270647.214,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
470 - Partnership Funds,10594,10594,2016-17,actual-budgetary,budget-fy2020-21-vol1,217,,fy2020-21
470 Partnership Funds,,11173.531,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
470 Partnership Funds,,11173.531,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
470 Partnership Funds,,11173.531,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
470 Partnership Funds,,11288.784,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
470 Partnership Funds,10594.402,10594.402,2016-17,actual-budgetary,budget-fy2018-19-book,131,,fy2018-19
601 - Self-Insurance Fund,8017,8017,2016-17,actual-budgetary,budget-fy2020-21-vol1,228,,fy2020-21
601 Self Insurance Fund,,7174.6,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
601 Self Insurance Fund,,7174.6,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
