source,amount_k,fy,basis,doc_id,page,notes,fragment
Extra-curricular Activities,679.5,2015-16,revised,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Extra-Curricular Activities,808.200,2015-16,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Federal Sources (detail subtotal),24.767,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Federal Sources,0.84,2015-16,revised,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero),fy2016-17
Federal Sources,24.767,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Food Service Sales (detail subtotal),0.000,2015-16,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Food Service Sales,0.000,2015-16,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Intermediate Sources (detail subtotal),13102.988,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Intermediate Sources,13021.202,2015-16,revised,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Intermediate Sources,13102.988,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources (detail subtotal),8163.519,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
OTHER REVENUE FROM LOCAL SOURCES,16419,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Other Revenue from Local Sources,8163.519,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources,8513.67,2015-16,revised,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Sources (detail subtotal),116.705,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Other Sources,116.705,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Other Sources,200,2015-16,revised,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Revenue from Taxes (detail subtotal),308943.364,2015-16,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Revenue from Taxes,308943.364,2015-16,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Revenue from Taxes,309577.394,2015-16,revised,budget-fy2016-17-book,88,printed subtotal,fy2016-17
State School Fund General Support,207729.221,2015-16,revised,budget-fy2016-17-book,89,account 431010; component of State Sources,fy2016-17
