source,amount_k,fy,basis,doc_id,page,notes,fragment
Other,17540,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,452027,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5693,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,259314,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,1114724,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,12101,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,12101,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
2000 - Revenue - Intermediate Sources,12101,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,12101,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,8977,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
2000 - Revenue - Intermediate Sources,8977,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
3000 - Revenue From State Sources,247407,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,247407,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,247407,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,247407,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue from State Sources,272033,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
3000 - Revenue from State Sources,272033,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue From Federal Sources,15,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue From Federal Sources,15,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
4000 - Revenue From Federal Sources,15,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue From Federal Sources,15,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue from Federal Sources,21,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue from Federal Sources,21,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,0,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
5200 - Interfund Transfers,0,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,0,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
All Other Budget Resources,1450,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
All Other Budget Resources,1450,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,1450,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
All Other Budget Resources,2450,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,90500,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,native unit thousands; 'Summary of Resources by Major Object - 100 - General Funds'; dashes recorded as 0; 2025-26 interfund transfer $23.962M was the PERS Rate Stabilization drawdown; Proposed/Approved 2026-27 identical to Adopted,fy2026-27
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85,tscc
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-review-fy2026,19,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars,tscc
Beginning Fund Balance,99978,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,99978,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,99978,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,99978,2022-23,revised,tscc-review-fy2024,19,,tscc
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Local Option Property Taxes,109951,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Local Option Property Taxes,109951,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Local Option Property Taxes,109951,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Local Option Property Taxes,109951,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,311938,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes other than Local Option,311938,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes other than Local Option,311938,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Property Taxes Other Than Local Option,314424,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,314424,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,314424,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,314424,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
Debt Proceeds,0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Debt Proceeds,0,2022-23,actual-budgetary,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years",tscc
Debt Proceeds,1400,2022-23,revised,tscc-review-fy2024,19,,tscc
Federal Revenue,15,2022-23,revised,tscc-review-fy2024,19,,tscc
Federal Revenue,21,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Federal Revenue,21,2022-23,actual-budgetary,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19,tscc
Federal Revenue,21,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
Fees and Charges,8365,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Fees and Charges,8365,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Fees and Charges,8365,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
Fees and Charges,8864,2022-23,revised,tscc-review-fy2024,19,,tscc
Local Revenue,12101,2022-23,revised,tscc-review-fy2024,19,,tscc
Local Revenue,9947,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Local Revenue,9947,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Local Revenue,9947,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
Other Income,12163,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Other Income,12163,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Other Income,12163,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
Other Income,3992,2022-23,revised,tscc-review-fy2024,19,,tscc
Other Revenue From Local Sources,17736,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,18736,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,18736,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,18736,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,28028,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue from Local Sources,28028,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Other Revenue from Local Sources,28028,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Property Tax,428705,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Property Tax,428705,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Property Tax,428705,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
Property Tax,430305,2022-23,revised,tscc-review-fy2024,19,,tscc
Revenue - Intermediate Sources (2000),8977,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),21,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),272033,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
State Revenue,247407,2022-23,revised,tscc-review-fy2024,19,,tscc
State Revenue,272033,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
State Revenue,272033,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
State Revenue,272033,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
TOTAL FUND RESOURCES,804062,2022-23,revised,tscc-review-fy2024,19,,tscc
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-review-fy2026,19,,tscc
TOTAL RESOURCES,794585,2022-23,proposed,budget-fy2022-23-vol1,149,,fy2022-23
TOTAL RESOURCES,804062,2022-23,adopted,budget-fy2022-23-vol1,149,,fy2022-23
TOTAL RESOURCES,804062,2022-23,adopted,budget-fy2023-24-vol1,94,,fy2023-24
TOTAL RESOURCES,804062,2022-23,approved,budget-fy2022-23-vol1,149,,fy2022-23
Total Resources,830038,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Total Resources,830038,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Total Resources,830038,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Transfers In,0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Transfers In,0,2022-23,actual-budgetary,tscc-review-fy2025,18,,tscc
Transfers In,0,2022-23,actual-budgetary,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)",tscc
Transfers In,0,2022-23,revised,tscc-review-fy2024,19,,tscc
Charges for services,85530,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,11067,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,5727,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,204165,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,28748,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,110472,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,21032,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,468529,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,6362,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,265672,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,1207304,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,10019,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
2000 - Revenue - Intermediate Sources,10019,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
2000 - Revenue - Intermediate Sources,7222,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
2000 - Revenue - Intermediate Sources,7222,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
2000 - Revenue - Intermediate Sources,8019,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,259931,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,259931,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,259931,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue from State Sources,280781,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
3000 - Revenue from State Sources,280781,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue From Federal Sources,15,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
4000 - Revenue From Federal Sources,15,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
4000 - Revenue From Federal Sources,15,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
4000 - Revenue from Federal Sources,28,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue from Federal Sources,28,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,0,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
5200 - Interfund Transfers,0,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,0,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,115,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
All Other Budget Resources,115,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
All Other Budget Resources,1800,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,1800,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,1800,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,1800,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,105497,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Beginning Fund Balance,105497,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Beginning Fund Balance,105497,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Beginning Fund Balance,86634,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,94984,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,94984,2023-24,adopted,budget-fy2024-25-vol1,99,"2023-24 budget columns are from the 2023-24 Adopted Budget (p78)",fy2024-25
Beginning Fund Balance,94984,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,94984,2023-24,approved,tscc-review-fy2024,19,,tscc
Beginning Fund Balance,94984,2023-24,revised,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85,tscc
Beginning Fund Balance,94984,2023-24,revised,tscc-review-fy2025,18,,tscc
Current Year Local Option Property Taxes,106896,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Local Option Property Taxes,106896,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Local Option Property Taxes,114676,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Local Option Property Taxes,114676,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,114676,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Local Option Property Taxes,114676,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,329746,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,329746,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes Other Than Local Option,329746,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,329746,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes other than Local Option,339436,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes other than Local Option,339436,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Debt Proceeds,1750,2023-24,approved,tscc-review-fy2024,19,,tscc
Debt Proceeds,1750,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Debt Proceeds,1750,2023-24,revised,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years",tscc
Federal Revenue,15,2023-24,approved,tscc-review-fy2024,19,,tscc
Federal Revenue,15,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Federal Revenue,15,2023-24,revised,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19,tscc
Federal Revenue,28,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Fees and Charges,7471,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Fees and Charges,8000,2023-24,approved,tscc-review-fy2024,19,,tscc
Fees and Charges,8000,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Fees and Charges,8000,2023-24,revised,tscc-review-fy2025,18,,tscc
Local Revenue,10019,2023-24,approved,tscc-review-fy2024,19,,tscc
Local Revenue,10019,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Local Revenue,10019,2023-24,revised,tscc-review-fy2025,18,,tscc
Local Revenue,8125,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Other Income,15050,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Other Income,8221,2023-24,approved,tscc-review-fy2024,19,,tscc
Other Income,8221,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Other Income,8221,2023-24,revised,tscc-review-fy2025,18,,tscc
Other Revenue From Local Sources,22603,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,22603,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue From Local Sources,22603,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,22603,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue from Local Sources,33399,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Other Revenue from Local Sources,33399,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Property Tax,450854,2023-24,approved,tscc-review-fy2024,19,,tscc
Property Tax,450854,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Property Tax,450854,2023-24,revised,tscc-review-fy2025,18,,tscc
Property Tax,456423,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
Revenue - Intermediate Sources (2000),10019,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),15,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),259931,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
State Revenue,259931,2023-24,approved,tscc-review-fy2024,19,,tscc
State Revenue,259931,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
State Revenue,259931,2023-24,revised,tscc-review-fy2025,18,,tscc
State Revenue,280781,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
TOTAL FUND RESOURCES,833774,2023-24,approved,tscc-review-fy2024,19,,tscc
TOTAL FUND RESOURCES,833774,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
TOTAL FUND RESOURCES,833774,2023-24,revised,tscc-review-fy2025,18,,tscc
TOTAL FUND RESOURCES,873375,2023-24,actual-budgetary,tscc-review-fy2026,19,,tscc
TOTAL RESOURCES,823424,2023-24,proposed,budget-fy2023-24-vol1,94,,fy2023-24
TOTAL RESOURCES,833774,2023-24,adopted,budget-fy2023-24-vol1,94,,fy2023-24
Total Resources,833774,2023-24,adopted,budget-fy2024-25-vol1,99,,fy2024-25
TOTAL RESOURCES,833774,2023-24,approved,budget-fy2023-24-vol1,94,,fy2023-24
Total Resources,873375,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Total Resources,873375,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Transfers In,0,2023-24,actual-budgetary,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)",tscc
Transfers In,0,2023-24,approved,tscc-review-fy2024,19,,tscc
Transfers In,0,2023-24,revised,tscc-annual-report-2024-25-summaries,85,,tscc
Transfers In,0,2023-24,revised,tscc-review-fy2025,18,,tscc
Charges for services,87278,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,9401,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,6308,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,191530,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,55912,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,108408,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,20810,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,508659,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,6415,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,274366,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,1269087,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,12306,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
2000 - Revenue - Intermediate Sources,12727,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
3000 - Revenue from State Sources,271565,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
3000 - Revenue from State Sources,275124,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue from Federal Sources,146,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue from Federal Sources,15,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
5200 - Interfund Transfers,0,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,0,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
All Other Budget Resources,1700,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,50,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,50,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,50,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
All Other Budget Resources,94,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Beginning Fund Balance,84205,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Beginning Fund Balance,86078,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Beginning Fund Balance,87138,2024-25,adopted,budget-fy2024-25-vol1,99,"also Attachment A p303",fy2024-25
Beginning Fund Balance,87138,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85,tscc
Beginning Fund Balance,87138,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Beginning Fund Balance,87138,2024-25,approved,tscc-review-fy2025,18,,tscc
Beginning Fund Balance,87138,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
Beginning Fund Balance,87138,2024-25,revised,tscc-review-fy2026,19,,tscc
Current Year Local Option Property Taxes,104123,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Local Option Property Taxes,104608,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,104608,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,104608,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,104608,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
Current Year Property Taxes other than Local Option,347524,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Property Taxes Other Than Local Option,351964,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes Other Than Local Option,351964,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes Other Than Local Option,351964,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes other than Local Option,351964,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
Debt Proceeds,0,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Debt Proceeds,0,2024-25,approved,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years",tscc
Federal Revenue,15,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Federal Revenue,15,2024-25,approved,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19,tscc
Federal Revenue,15,2024-25,revised,tscc-review-fy2026,19,,tscc
Fees and Charges,7865,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Fees and Charges,7865,2024-25,approved,tscc-review-fy2025,18,,tscc
Fees and Charges,7865,2024-25,revised,tscc-review-fy2026,19,,tscc
