fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
IT System Project Fund (407),54,54,2019-20,actual-budgetary,budget-fy2022-23-vol1,228,
Full Faith and Credit Fund (420),5822,5821,2018-19,actual-budgetary,budget-fy2022-23-vol1,231,2018-19 resources 5822 vs requirements 5821 (rounding)
Full Faith and Credit Fund (420),4173,4173,2019-20,actual-budgetary,budget-fy2022-23-vol1,231,
Full Faith and Credit Fund (420),1629,1629,2020-21,actual-budgetary,budget-fy2022-23-vol1,231,
Full Faith and Credit Fund (420),644,644,2021-22,adopted,budget-fy2022-23-vol1,231,
Full Faith and Credit Fund (420),453,453,2022-23,proposed,budget-fy2022-23-vol1,231,
Full Faith and Credit Fund (420),237,237,2022-23,approved,budget-fy2022-23-vol1,231,
Full Faith and Credit Fund (420),237,237,2022-23,adopted,budget-fy2022-23-vol1,231,
Energy Efficient Schools Fund (435),3173,3173,2018-19,actual-budgetary,budget-fy2022-23-vol1,234,requirements-by-object prints 3174 for 2018-19 (rounding)
Energy Efficient Schools Fund (435),3372,3372,2019-20,actual-budgetary,budget-fy2022-23-vol1,234,
Energy Efficient Schools Fund (435),3301,3301,2020-21,actual-budgetary,budget-fy2022-23-vol1,234,
Energy Efficient Schools Fund (435),2867,2867,2021-22,adopted,budget-fy2022-23-vol1,234,
Energy Efficient Schools Fund (435),4306,4306,2022-23,proposed,budget-fy2022-23-vol1,234,
Energy Efficient Schools Fund (435),4306,4306,2022-23,approved,budget-fy2022-23-vol1,234,
Energy Efficient Schools Fund (435),4306,4306,2022-23,adopted,budget-fy2022-23-vol1,234,
Facilities Capital Fund (438),7462,7462,2018-19,actual-budgetary,budget-fy2022-23-vol1,237,
Facilities Capital Fund (438),12956,12956,2019-20,actual-budgetary,budget-fy2022-23-vol1,237,
Facilities Capital Fund (438),944,944,2020-21,actual-budgetary,budget-fy2022-23-vol1,237,
Facilities Capital Fund (438),6783,6783,2021-22,adopted,budget-fy2022-23-vol1,237,
Facilities Capital Fund (438),8344,8344,2022-23,proposed,budget-fy2022-23-vol1,237,
